Node 1,Node 2,Placebo Edge,Sertraline Edge
BAD,ANX,0,0.0913541809139755
BAD,AFR,0.0584935857445816,0.00917803169486173
ANX,AFR,0.190256685440066,0.215371255031662
BAD,FAI,0.142575158533182,0.0126282340597194
ANX,FAI,0,0
AFR,FAI,0,0.0423073501207528
BAD,GUI,0.21206174142576,0.107063875906909
ANX,GUI,0,0.0352209620663952
AFR,GUI,0,0.00456677610656375
FAI,GUI,0.12936244356797,0.0215803613340237
BAD,PUN,0.0789626636420757,0.11834051999435
ANX,PUN,0,0
AFR,PUN,0.0749466440880861,0.0246813490991524
FAI,PUN,0.0703836325563804,0.159290269218162
GUI,PUN,0.107648402786139,0.120559361046419
BAD,CRY,0,0.0610447638230614
ANX,CRY,0.0643981590654661,0
AFR,CRY,0,0.00678361116914405
FAI,CRY,0,0
GUI,CRY,0.102207415577419,0
PUN,CRY,0,0.0217005941397998
BAD,IND,0,0.0265142358796674
ANX,IND,0,0.0210030284897634
AFR,IND,0,0.0702010567753947
FAI,IND,0.0421578489105271,0
GUI,IND,0.0193366645309747,0.122046377613531
PUN,IND,0,0.0718989326784209
CRY,IND,0.0437422323489007,0.00394020312905871
BAD,LIB,0,0.0556559073775009
ANX,LIB,0,0
AFR,LIB,0.0232818542623694,0.0182149426338683
FAI,LIB,0,-0.0267977981500322
GUI,LIB,0.0241401138409423,0
PUN,LIB,0.120905859146746,0.0432805798519462
CRY,LIB,0.108218098094735,0
IND,LIB,0.0208542335680473,0
BAD,PHY,0.032295473377815,0
ANX,PHY,0,0
AFR,PHY,0,0.0324490043449212
FAI,PHY,-0.060830219390361,0
GUI,PHY,-0.00816221171542653,0
PUN,PHY,0,0
CRY,PHY,0.0277325638748515,-0.0640761083159576
IND,PHY,0.0490179616509815,0
LIB,PHY,-0.0362940124229083,-0.0598985886510266
BAD,IMP,0,0.0448508622770216
ANX,IMP,0.0472391727995319,0
AFR,IMP,0.0564912963155239,0
FAI,IMP,0,0
GUI,IMP,0,0
PUN,IMP,-0.0702643718727894,0
CRY,IMP,0.105166178178372,0
IND,IMP,0.0322489040698897,0
LIB,IMP,0,0
PHY,IMP,0.0283927786266652,0.130194187274851
BAD,TIR,0,0.0336373031601868
ANX,TIR,0.0248089790332275,0
AFR,TIR,0,0
FAI,TIR,0,0
GUI,TIR,0.0429540079820757,0
PUN,TIR,0,0
CRY,TIR,0.0272906719260716,0
IND,TIR,0,0.104299632530564
LIB,TIR,0,0.0216938048178384
PHY,TIR,0,0
IMP,TIR,0.0294817432961651,0.061850739713771
BAD,WOR,0.131394712418622,0.142509865468556
ANX,WOR,0.379495094027377,0.285393720490939
AFR,WOR,0.139080422285546,0.149576581960743
FAI,WOR,0,0.05449040125793
GUI,WOR,0,0
PUN,WOR,-0.035753519745017,0
CRY,WOR,0,0.0258141762143915
IND,WOR,0.121989356247326,0.0378692957950627
LIB,WOR,0,0.00725018276074788
PHY,WOR,0,0
IMP,WOR,0,0.141225272895611
TIR,WOR,0,0
BAD,ANH,0.124761041563846,0.00878530253760824
ANX,ANH,0,0
AFR,ANH,0.0502919262875965,0
FAI,ANH,0.0100667483603121,0.0363420981038321
GUI,ANH,0,0.0340323354300292
PUN,ANH,0,0.110760306837561
CRY,ANH,0,0
IND,ANH,0.106299468157811,0.154952338329026
LIB,ANH,0.00163127412768375,0.0784848737122398
PHY,ANH,0.0116944393714113,0
IMP,ANH,0.151972197026269,0.0723407692889124
TIR,ANH,0.100439012049807,0
WOR,ANH,0,0.0689027791103125
BAD,DIS,0.144653079903925,0.17926405943645
ANX,DIS,0.0260896461997086,0
AFR,DIS,0.00321138642450892,0.0291547366260937
FAI,DIS,0.221909895937638,0.176856651787237
GUI,DIS,0.0860076305596597,0.152135376838025
PUN,DIS,0.170753508081401,0.0479990513912221
CRY,DIS,0.0153012505454526,0.0626242895827416
IND,DIS,0.0681899055850724,0.0353321844535205
LIB,DIS,0.0428986299732581,0
PHY,DIS,0.0641673141944993,0
IMP,DIS,0.040636347089612,0.0433049306968222
TIR,DIS,0.0988679616006285,0.0644420272049079
WOR,DIS,0.0193828079106726,0
ANH,DIS,0.036350479275464,0.239548547897266
BAD,RES,0,0.0570150263739697
ANX,RES,0.0733279096626751,0.0841655835164772
AFR,RES,0.0706201653668986,0.106642321006556
FAI,RES,0,0.00825149272252392
GUI,RES,0,0
PUN,RES,0,0.0580063991253437
CRY,RES,0,0.0973095537944057
IND,RES,0.0588998945410564,0.0367343704300263
LIB,RES,0.121000217012958,0.0687899903901065
PHY,RES,0,0
IMP,RES,0.123564389381308,0
TIR,RES,0.0847984588665396,0.0497135981103461
WOR,RES,0.145613683002823,0.119714006976001
ANH,RES,0.0545016871206608,0
DIS,RES,0,0.0497927193120187
BAD,SUI,0.0423583159255849,0.0411692530380626
ANX,SUI,0.0218019153328991,0
AFR,SUI,0,0.0686832064630256
FAI,SUI,0,0.0373671373465279
GUI,SUI,0.0319832260167756,0.0378512005692468
PUN,SUI,0.130996146562863,0
CRY,SUI,0.039744679661739,0
IND,SUI,0,0.04299750833924
LIB,SUI,0.027268088551095,0
PHY,SUI,0,0
IMP,SUI,0.100294208017047,0.146955336729403
TIR,SUI,0.0823439008703575,0
WOR,SUI,0.00820512618811822,0
ANH,SUI,0,0
DIS,SUI,0.00506243260373193,0.0958528999171389
RES,SUI,0.0841338528674283,0
BAD,SAD,0.20330132136068,0.183719985494318
ANX,SAD,0.0629784533772349,0.142442584309785
AFR,SAD,0.0249314982350671,0
FAI,SAD,0,0.0850210742132765
GUI,SAD,0,0.0231385317117124
PUN,SAD,0,0
CRY,SAD,0.0429831809419675,0.059307109844578
IND,SAD,0,0.0237529115229602
LIB,SAD,0,0
PHY,SAD,0.0436777312899183,0
IMP,SAD,0.164852820436935,0.207769276819582
TIR,SAD,0.0770425334046131,0.00963477921024805
