Node 1,Node 2,Placebo Edge,Sertraline Edge
BAD,ANX,0.0313943361023277,0.0055324927098499
BAD,AFR,0.136765703300577,0.156628236495598
ANX,AFR,0.0506238606387688,0.103647960363185
BAD,FAI,0.0775421816404321,0.0738168516568435
ANX,FAI,0.0457424134953637,0.0769488036879138
AFR,FAI,0,0
BAD,GUI,0.159589992647694,0.155030889928154
ANX,GUI,0.0359007207169152,0.00873870069265702
AFR,GUI,0.0224889634062264,0
FAI,GUI,0.12765507473931,0.133025092958357
BAD,PUN,0.0988337161012302,0.0748404821789186
ANX,PUN,0,0
AFR,PUN,0.0299219418448761,0.0377634868849198
FAI,PUN,0.18637459936278,0.0489769791795895
GUI,PUN,0.153680273602217,0.0820129955260929
BAD,CRY,0,0
ANX,CRY,0.104395123773394,0
AFR,CRY,0.038492388198243,0.0988667345449187
FAI,CRY,0,0
GUI,CRY,0.00344183016561477,0
PUN,CRY,0.0111950023703341,0.0693239418321737
BAD,IND,0,0.130838051040964
ANX,IND,0.060851961576737,0.0730134635279998
AFR,IND,0.0592010633871844,0.0337992155211776
FAI,IND,0,0.0297873346516976
GUI,IND,0.17898573052351,0.0654251484775251
PUN,IND,0.0562704309534129,0.0977160652541659
CRY,IND,0.16466789713775,0.15829790490535
BAD,LIB,0.00570156113063943,0
ANX,LIB,0.00529408639375983,0
AFR,LIB,0,0
FAI,LIB,0,0
GUI,LIB,0,0
PUN,LIB,0,0
CRY,LIB,0.0314990252003188,0.052374688911285
IND,LIB,0,0
BAD,PHY,0,0
ANX,PHY,0,0
AFR,PHY,-0.00639202766091753,0
FAI,PHY,0,0
GUI,PHY,0,0
PUN,PHY,0,0
CRY,PHY,0,0
IND,PHY,0,0
LIB,PHY,-0.00186071301004255,0
BAD,IMP,0,0
ANX,IMP,0.0675485440013611,0.0316318842932839
AFR,IMP,0,0
FAI,IMP,0,0
GUI,IMP,0,0
PUN,IMP,0,0
CRY,IMP,0,0.0283276487920201
IND,IMP,0,0
LIB,IMP,0.0323335667155573,0.022760064189287
PHY,IMP,0,0
BAD,TIR,0,0
ANX,TIR,0.0186115478901124,0
AFR,TIR,0.154087980675477,0
FAI,TIR,0,0
GUI,TIR,0,0
PUN,TIR,0,0
CRY,TIR,0.0241819025272644,0.0745704350418844
IND,TIR,0.0379508368632813,0
LIB,TIR,0.137294397139982,0.107859622619029
PHY,TIR,-0.123495044517364,-0.038839775421802
IMP,TIR,0.00356105768493025,0.0449890637348392
BAD,WOR,0.0643624467452747,0.154906321184138
ANX,WOR,0.274363126759966,0.286298677411155
AFR,WOR,0.162884556497822,0.132776597059625
