Node 1,Node 2,Placebo Edge,Sertraline Edge
BAD,ANX,0.0582514199308444,0
BAD,AFR,0.120900573752711,0.119311007306189
ANX,AFR,0.0617498360762411,0.0726704176204981
BAD,FAI,0.099305894103137,0.125906983269583
ANX,FAI,0,0
AFR,FAI,0,0.0262222307201006
BAD,GUI,0.0149590249626461,0.0369328073750893
ANX,GUI,0,0
AFR,GUI,0.0870445090828776,0.0398672562514264
FAI,GUI,0.158740819466158,0.129617701404505
BAD,PUN,0.0629977104814417,0.102676632210242
ANX,PUN,0.00946977674876289,0.0980274011510405
AFR,PUN,0,0
FAI,PUN,0.132070539021209,0.0395090033774364
GUI,PUN,0.102304829902102,0.0880619011339082
BAD,CRY,0,0.0836113499865315
ANX,CRY,0,0.00213369548022009
AFR,CRY,0,0
FAI,CRY,0.0310084785905048,0.0303407765456764
GUI,CRY,0.0655977563471355,0
PUN,CRY,0,0.073923098201464
BAD,IND,0,0
ANX,IND,0,0
AFR,IND,0,0.0184730208542573
FAI,IND,0.0359838913819181,0
GUI,IND,0.0556862737646245,0
PUN,IND,0,0.0469928949663378
CRY,IND,0.102390126272143,0
BAD,LIB,0,0
ANX,LIB,0,0
AFR,LIB,0.0182506219726115,0
FAI,LIB,0,0
GUI,LIB,0.0272010395820045,0
PUN,LIB,0,0
CRY,LIB,0.0387480027431248,0.0664143853735924
IND,LIB,0.0742726481238096,0.0220929719319113
BAD,PHY,0,0
ANX,PHY,0,0
AFR,PHY,0,0
FAI,PHY,0,0
GUI,PHY,0,0
PUN,PHY,0,0
CRY,PHY,0,0
IND,PHY,0,0
LIB,PHY,-0.0577072759625903,-0.107707750827116
BAD,IMP,0.105738478502434,0.119214203869365
ANX,IMP,0,0.0537862873301541
AFR,IMP,0.00205944373572607,0
FAI,IMP,0,0
GUI,IMP,0.0366472888497038,0.0129517527740288
PUN,IMP,0.0233618880569472,0.0276536059564702
CRY,IMP,0,0
IND,IMP,0,0
LIB,IMP,0.052609868586925,0
PHY,IMP,0,0.0266378086276036
BAD,TIR,0.0852830624557873,0
ANX,TIR,0.0174965987503812,0
AFR,TIR,0,0
FAI,TIR,0.0905373787111298,0.0236459129317343
GUI,TIR,0.00715887888076055,0
PUN,TIR,0,0
