row,column,cor
TREAT,BAD,-0.0868826685847837
TREAT,ANX,0
BAD,ANX,0
TREAT,AFR,-0.0414731923893902
BAD,AFR,0
ANX,AFR,0.200937823923111
TREAT,FAI,0
BAD,FAI,0.0834438271214477
ANX,FAI,0
AFR,FAI,0.0296281246664113
TREAT,GUI,0
BAD,GUI,0.173870061468666
ANX,GUI,0
AFR,GUI,0
FAI,GUI,0.0609762265905128
TREAT,PUN,0
BAD,PUN,0.123565932566078
ANX,PUN,0
AFR,PUN,0.0583737985228128
FAI,PUN,0.134864998521521
GUI,PUN,0.111770839357329
TREAT,CRY,0
BAD,CRY,0
ANX,CRY,0
AFR,CRY,0
FAI,CRY,0
GUI,CRY,0
PUN,CRY,0.0386772912904672
TREAT,IND,0
BAD,IND,0
ANX,IND,0
AFR,IND,0
FAI,IND,0
GUI,IND,0.0842992104192931
PUN,IND,0
CRY,IND,0
TREAT,LIB,0.23512677378262
BAD,LIB,0
ANX,LIB,0
AFR,LIB,0
FAI,LIB,-0.0504988964509466
GUI,LIB,0
PUN,LIB,0.118671566120063
CRY,LIB,0.0342174775774819
IND,LIB,0
TREAT,PHY,0
BAD,PHY,0
ANX,PHY,0
AFR,PHY,0
FAI,PHY,0
GUI,PHY,0
PUN,PHY,0
CRY,PHY,0
IND,PHY,0
LIB,PHY,-0.0662206301040649
TREAT,IMP,-0.0355782843827015
BAD,IMP,0.0431142624140291
ANX,IMP,0
AFR,IMP,0
FAI,IMP,0
GUI,IMP,0
PUN,IMP,-0.122975860578444
CRY,IMP,0.0423564256025046
IND,IMP,0
LIB,IMP,0
PHY,IMP,0.102794334319689
TREAT,TIR,0
BAD,TIR,0
ANX,TIR,0
AFR,TIR,0
FAI,TIR,0
GUI,TIR,0
PUN,TIR,0
CRY,TIR,0
IND,TIR,0
LIB,TIR,0
PHY,TIR,0
IMP,TIR,0
TREAT,WOR,0
BAD,WOR,0.173259144662016
ANX,WOR,0.367623309246421
AFR,WOR,0.152390372824734
FAI,WOR,0
GUI,WOR,0
PUN,WOR,0
CRY,WOR,0
IND,WOR,0.100657575595172
LIB,WOR,0
PHY,WOR,0
IMP,WOR,0.0529559981847498
TIR,WOR,0
TREAT,ANH,0
BAD,ANH,0.0799268164371142
ANX,ANH,0
AFR,ANH,0.030883318868008
FAI,ANH,0
GUI,ANH,0
PUN,ANH,0
CRY,ANH,0
IND,ANH,0.143316719299211
LIB,ANH,0.0581925155408016
PHY,ANH,0
IMP,ANH,0.11792651812661
TIR,ANH,0.0610810560186167
WOR,ANH,0
TREAT,DIS,0
BAD,DIS,0.149914912058016
ANX,DIS,0
AFR,DIS,0
FAI,DIS,0.209293328295919
GUI,DIS,0.128360933099103
PUN,DIS,0.140994808113986
CRY,DIS,0.0513693735374756
IND,DIS,0.0672878737198679
LIB,DIS,0
PHY,DIS,0
IMP,DIS,0.0586683766854662
TIR,DIS,0.0763069908125461
WOR,DIS,0
ANH,DIS,0.118048787857625
TREAT,RES,-0.0981125223512369
BAD,RES,0
ANX,RES,0.0777618498860309
AFR,RES,0.0960665724532723
FAI,RES,0
GUI,RES,0
PUN,RES,0
CRY,RES,0
IND,RES,0.0469061625682204
LIB,RES,0.108361249180891
PHY,RES,0
IMP,RES,0.0616679987509202
TIR,RES,0.0605145773865701
WOR,RES,0.151689307559633
ANH,RES,0
DIS,RES,0
TREAT,SUI,0
BAD,SUI,0
ANX,SUI,0
AFR,SUI,0.030371350019024
FAI,SUI,0
GUI,SUI,0.0379474102034978
PUN,SUI,0.0396269968663709
CRY,SUI,0
IND,SUI,0.0217359847611651
LIB,SUI,0
PHY,SUI,0
IMP,SUI,0.138946019046248
TIR,SUI,0.0639756660932359
WOR,SUI,0
ANH,SUI,0
DIS,SUI,0.0705892313840454
RES,SUI,0.0394898628939759
TREAT,SAD,-0.027273119694054
BAD,SAD,0.194880057631658
ANX,SAD,0.113990697705115
AFR,SAD,0
FAI,SAD,0.0320350021805295
GUI,SAD,0.0481100398184192
PUN,SAD,0
CRY,SAD,0.0807651862108235
IND,SAD,0
LIB,SAD,0
PHY,SAD,0.0643841320404712
IMP,SAD,0.164168242312368
TIR,SAD,0.0330060704726752
WOR,SAD,0.0678691905434968
ANH,SAD,0.11248754180771
DIS,SAD,0.0936165680540061
RES,SAD,0.0499604947469102
SUI,SAD,0.110617919040655
TREAT,APP,0
BAD,APP,0
ANX,APP,0
AFR,APP,0
FAI,APP,0
GUI,APP,0
PUN,APP,0
CRY,APP,0.070919493925417
IND,APP,0.0787711511975571
LIB,APP,0.0819716597847141
PHY,APP,-0.0518411168067661
IMP,APP,0
TIR,APP,0.0508027116816882
WOR,APP,0.0528130019922962
ANH,APP,0
DIS,APP,0
RES,APP,0.140909676167968
SUI,APP,0
SAD,APP,0
TREAT,CON,-0.0464477196478492
BAD,CON,0
ANX,CON,0
AFR,CON,0
FAI,CON,0
GUI,CON,0
PUN,CON,0.0807545139238783
CRY,CON,0
IND,CON,0.1472282024478
LIB,CON,0
PHY,CON,0
IMP,CON,0.0790664583828669
TIR,CON,0.243722047137595
WOR,CON,0
ANH,CON,0.148375074877647
DIS,CON,0
RES,CON,0.117445469182627
SUI,CON,0
SAD,CON,0.0844126925450682
APP,CON,0.0447545819823376
TREAT,SLE,0.219131340732388
BAD,SLE,0
ANX,SLE,0
AFR,SLE,0
FAI,SLE,0.0923842531071027
GUI,SLE,0
PUN,SLE,0
CRY,SLE,0
IND,SLE,0
LIB,SLE,0
PHY,SLE,0
IMP,SLE,0
TIR,SLE,0.166053399132025
WOR,SLE,0
ANH,SLE,0
DIS,SLE,0
RES,SLE,0.0741747456734114
SUI,SLE,0
SAD,SLE,0.0393660115190373
APP,SLE,0.196384548797144
CON,SLE,0.0769397483766971
