t1.node,t2.node,est.net,ci.lower,ci.upper
BAD,BAD,0.227024305163036,0.128370159540837,0.322213586918509
ANX,BAD,0,-0.0607770064948221,0.13611473129742
AFR,BAD,0.0971230846746079,0.00879491666236043,0.183942021991772
FAI,BAD,0,-0.155183971530302,0.0256441933847655
GUI,BAD,0,-0.109788259457674,0.0674095672145913
PUN,BAD,0,-0.00710782641795064,0.177434023694581
CRY,BAD,0,-0.0864481513392952,0.0811377455253529
IND,BAD,0,-0.0847348185656661,0.0977239026196833
LIB,BAD,0,-0.149949935956529,0.0163113277597457
PHY,BAD,0,-0.0450337586863372,0.116142133357123
IMP,BAD,0,-0.0852511408587966,0.0999144933711073
TIR,BAD,0,-0.0352923908698231,0.152427287787712
WOR,BAD,0,-0.0410390348189654,0.174603003746708
ANH,BAD,0,-0.115978622947448,0.0809434524395223
DIS,BAD,0,-0.0806664524772021,0.11008235855837
RES,BAD,0,-0.104360602370931,0.0991658992700966
SUI,BAD,0.12878300826906,0.0411643316016255,0.216152885770913
SAD,BAD,0,-0.0709409345924101,0.138325751917058
APP,BAD,0,-0.0983376255074904,0.0718634893252491
CON,BAD,0,-0.00402926269820551,0.1805034588024
SLE,BAD,0,-0.125844637274055,0.05430222000839
TREAT,BAD,-0.0922249172540825,-0.33873884128674,-0.0291757906943903
BAD,ANX,0,-0.0432791931317331,0.156120189755132
ANX,ANX,0.268307428868979,0.169035767622734,0.371550115758961
AFR,ANX,0.148856812756191,0.0586618617258575,0.238754199543582
FAI,ANX,0,-0.110791536641602,0.0751716448360244
GUI,ANX,0,-0.158557300701084,0.0236439218980383
PUN,ANX,0,-0.0684784007025942,0.12136557922039
CRY,ANX,0,-0.162738259331491,0.00962625599460015
IND,ANX,0,-0.0602940317618801,0.127319228657339
LIB,ANX,0,-0.128718994939451,0.0423195519647902
PHY,ANX,0,-0.119651108616193,0.0461323006933968
IMP,ANX,0,-0.112901270734741,0.0775551241774378
TIR,ANX,0,-0.0884680063405015,0.104671682784848
WOR,ANX,0,-0.0460982881006516,0.175748219634404
ANH,ANX,0,-0.144655053273948,0.0578369856735634
DIS,ANX,0,-0.174280454005185,0.0218747908247242
RES,ANX,0,-0.138557286858387,0.0707146036858517
SUI,ANX,0.131344789523116,0.0421429138871606,0.222083568046542
SAD,ANX,0,-0.127514759129946,0.0876683983402815
APP,ANX,0,-0.0134234047765722,0.161606713803247
CON,ANX,0,-0.0424134488978733,0.147373220790186
SLE,ANX,0,-0.0254475706678983,0.159779329529312
TREAT,ANX,-0.111167871584107,-0.382421829746738,-0.0640882727000767
BAD,AFR,0,-0.108532914620924,0.0844682507328714
ANX,AFR,0.134361640082289,0.0373246526138145,0.233341771597651
AFR,AFR,0.3605221252512,0.272941696113356,0.447260946609244
FAI,AFR,0.106844565836123,0.0182560643690822,0.198256256244322
GUI,AFR,-0.17811300917632,-0.266273902683143,-0.0899132857246657
PUN,AFR,0,-0.0551089934873647,0.128643963008213
CRY,AFR,0,-0.0524898451712504,0.114345252698612
IND,AFR,0.0962135190758878,0.00637023271487967,0.187969225282161
LIB,AFR,0,-0.121116677876985,0.0444329974027131
PHY,AFR,0,-0.0804277371716172,0.0800373812665972
IMP,AFR,0,-0.0658881987580164,0.118457961865935
TIR,AFR,0,-0.122870043272093,0.0640683042667422
WOR,AFR,0,-0.0770883090546918,0.137638390657915
ANH,AFR,0,-0.0933110759230183,0.102689512875349
DIS,AFR,0,-0.0704593495134546,0.119406889637436
RES,AFR,0,-0.0840973848511876,0.118465673009479
SUI,AFR,0,-0.0025326892898182,0.171639310947053
SAD,AFR,0,-0.159386081812832,0.0488982960058612
APP,AFR,0,-0.0400906827376995,0.129326599163874
CON,AFR,0,-0.183527082561795,0.000172681672425415
SLE,AFR,0,-0.077961055652785,0.101328939203824
TREAT,AFR,-0.1150455431015,-0.385067418327114,-0.0769399302196678
BAD,FAI,0.103560416259079,0.00626186863852282,0.200226197880734
ANX,FAI,0,-0.0660895577164342,0.130911969712217
AFR,FAI,0.0956261262403789,0.00771461133462915,0.182926717293662
FAI,FAI,0.107643586077103,0.0183877037546645,0.199301072840175
GUI,FAI,0,-0.063754513132332,0.113509275012761
