t1.node,t2.node,est.net
BAD,BAD,0.240511490436984
ANX,BAD,0.133096152086394
AFR,BAD,0
FAI,BAD,0
GUI,BAD,0
PUN,BAD,0.141495777798184
CRY,BAD,0
IND,BAD,0.0953915338549911
LIB,BAD,0
PHY,BAD,-0.0836747036635226
IMP,BAD,0
TIR,BAD,0
WOR,BAD,0
ANH,BAD,0
DIS,BAD,0
RES,BAD,0
SUI,BAD,0.111056746405412
SAD,BAD,0
APP,BAD,0
CON,BAD,0
SLE,BAD,0
TREAT,BAD,0
BAD,ANX,0
ANX,ANX,0.242644446909104
AFR,ANX,0
FAI,ANX,0
GUI,ANX,0
PUN,ANX,0
CRY,ANX,0.120093440370827
IND,ANX,0.125110783702046
LIB,ANX,0
PHY,ANX,0
IMP,ANX,0
TIR,ANX,0
WOR,ANX,0
ANH,ANX,0
DIS,ANX,0
RES,ANX,0.20192679463089
SUI,ANX,0.0958683357345415
SAD,ANX,0
APP,ANX,0
CON,ANX,0
SLE,ANX,0
TREAT,ANX,-0.179627435316167
BAD,AFR,0
ANX,AFR,0
AFR,AFR,0.309927863157818
FAI,AFR,0
GUI,AFR,0
PUN,AFR,0
CRY,AFR,0
IND,AFR,0.10681497526876
LIB,AFR,0
PHY,AFR,0
IMP,AFR,0
TIR,AFR,0
WOR,AFR,0
ANH,AFR,0
DIS,AFR,0
RES,AFR,0
SUI,AFR,0
SAD,AFR,0
APP,AFR,0
CON,AFR,0
SLE,AFR,0
TREAT,AFR,0
BAD,FAI,0
ANX,FAI,0
AFR,FAI,0.102689173094893
FAI,FAI,0.342234465971853
GUI,FAI,0
PUN,FAI,0.145665799385415
CRY,FAI,0
IND,FAI,0
LIB,FAI,0
PHY,FAI,-0.0807075270113885
IMP,FAI,0
TIR,FAI,0
WOR,FAI,0
ANH,FAI,0
DIS,FAI,0
RES,FAI,0
SUI,FAI,0
SAD,FAI,0.162790290747933
APP,FAI,0
CON,FAI,0
SLE,FAI,0
TREAT,FAI,0
BAD,GUI,0.18491802278907
ANX,GUI,0
AFR,GUI,0
FAI,GUI,0
GUI,GUI,0.202446975498458
PUN,GUI,0.112533358882109
CRY,GUI,0
IND,GUI,0.139573955318434
LIB,GUI,0
PHY,GUI,-0.114876687367313
IMP,GUI,0
TIR,GUI,0
WOR,GUI,0
ANH,GUI,0
DIS,GUI,0
RES,GUI,0
SUI,GUI,0
SAD,GUI,-0.139906719851872
APP,GUI,0
CON,GUI,0
SLE,GUI,0
TREAT,GUI,0
BAD,PUN,0
ANX,PUN,0
AFR,PUN,0
FAI,PUN,0
GUI,PUN,0
PUN,PUN,0.442166003661548
CRY,PUN,0
IND,PUN,0
LIB,PUN,0
PHY,PUN,0
IMP,PUN,0
TIR,PUN,0
WOR,PUN,0
ANH,PUN,0
DIS,PUN,0
RES,PUN,0
SUI,PUN,0
SAD,PUN,0
APP,PUN,0.0906370910399365
CON,PUN,0
SLE,PUN,0
TREAT,PUN,0
BAD,CRY,0
ANX,CRY,0
AFR,CRY,0.129438041738279
FAI,CRY,0
GUI,CRY,-0.1235569783741
PUN,CRY,0
CRY,CRY,0.326884505476562
IND,CRY,0.145486297233332
LIB,CRY,0
PHY,CRY,0
IMP,CRY,0
TIR,CRY,0
WOR,CRY,0
ANH,CRY,0
DIS,CRY,0
RES,CRY,0
SUI,CRY,0
SAD,CRY,0
APP,CRY,0
CON,CRY,0
SLE,CRY,0
TREAT,CRY,0
BAD,IND,0.133552985130688
ANX,IND,0
AFR,IND,0
FAI,IND,0
GUI,IND,0
PUN,IND,0
CRY,IND,0
IND,IND,0.36522228680855
LIB,IND,0
PHY,IND,-0.115925528541881
IMP,IND,0
TIR,IND,0
WOR,IND,0
ANH,IND,0
DIS,IND,0
RES,IND,0
SUI,IND,0.128385080656573
SAD,IND,0
APP,IND,0
CON,IND,0
SLE,IND,0
TREAT,IND,-0.157094665013069
BAD,LIB,0
ANX,LIB,0
AFR,LIB,0
FAI,LIB,0
GUI,LIB,0
PUN,LIB,0
CRY,LIB,0
IND,LIB,0
LIB,LIB,0.481307994027391
PHY,LIB,0
IMP,LIB,0
TIR,LIB,0.107440634978338
WOR,LIB,0
ANH,LIB,0
DIS,LIB,0
RES,LIB,0
SUI,LIB,0.0982947749008054
SAD,LIB,0
APP,LIB,0
CON,LIB,0
SLE,LIB,0
TREAT,LIB,0
BAD,PHY,0
ANX,PHY,0
AFR,PHY,0
FAI,PHY,0
GUI,PHY,0
PUN,PHY,0
CRY,PHY,0
IND,PHY,0
LIB,PHY,0
PHY,PHY,0.439199070784954
IMP,PHY,0
TIR,PHY,0
WOR,PHY,0
ANH,PHY,0
DIS,PHY,0
RES,PHY,0
SUI,PHY,0
SAD,PHY,0
APP,PHY,0
CON,PHY,0
SLE,PHY,0
TREAT,PHY,0
BAD,IMP,0
ANX,IMP,0
AFR,IMP,0
FAI,IMP,0
GUI,IMP,0
PUN,IMP,0
CRY,IMP,0
IND,IMP,0
LIB,IMP,0
PHY,IMP,-0.148923606749388
IMP,IMP,0.268094308918491
TIR,IMP,0
WOR,IMP,0
ANH,IMP,0
DIS,IMP,0
RES,IMP,0
SUI,IMP,0.124752885647984
SAD,IMP,0
APP,IMP,0
CON,IMP,0
SLE,IMP,0
TREAT,IMP,-0.266238969976671
BAD,TIR,0
ANX,TIR,-0.114228624458311
AFR,TIR,0
FAI,TIR,0
GUI,TIR,0
PUN,TIR,0
CRY,TIR,0
IND,TIR,0
LIB,TIR,0
PHY,TIR,0
IMP,TIR,0
TIR,TIR,0.257936112509775
WOR,TIR,0
ANH,TIR,0
DIS,TIR,0
RES,TIR,0.137424718468192
SUI,TIR,0
SAD,TIR,0
APP,TIR,0
CON,TIR,0
SLE,TIR,0.153183831078336
TREAT,TIR,0
BAD,WOR,0
ANX,WOR,0
AFR,WOR,0
FAI,WOR,0
GUI,WOR,0
PUN,WOR,0
CRY,WOR,0
IND,WOR,0.10511803060461
LIB,WOR,-0.0934565314014544
PHY,WOR,-0.0910761654849425
IMP,WOR,0
TIR,WOR,0
WOR,WOR,0.152027732668241
ANH,WOR,0
DIS,WOR,0
RES,WOR,0.150054470633646
SUI,WOR,0
SAD,WOR,0
APP,WOR,0
CON,WOR,-0.151001587291827
SLE,WOR,0
TREAT,WOR,0
BAD,ANH,0
ANX,ANH,0
AFR,ANH,0
FAI,ANH,0
GUI,ANH,0
PUN,ANH,0
CRY,ANH,0
IND,ANH,0
LIB,ANH,0
PHY,ANH,0
IMP,ANH,0
TIR,ANH,0
WOR,ANH,0
ANH,ANH,0.191384547106827
DIS,ANH,0
RES,ANH,0.148785265711837
SUI,ANH,0
SAD,ANH,0
APP,ANH,0
CON,ANH,0
SLE,ANH,0
TREAT,ANH,-0.201662753157393
BAD,DIS,0
ANX,DIS,0
AFR,DIS,0
FAI,DIS,0.114242277582836
GUI,DIS,0
PUN,DIS,0.141789562970835
CRY,DIS,0
IND,DIS,0
LIB,DIS,-0.105521025146152
PHY,DIS,-0.114968292275881
IMP,DIS,0
TIR,DIS,0
WOR,DIS,0
ANH,DIS,0
DIS,DIS,0.292696955472428
RES,DIS,0.134421756109283
SUI,DIS,0
SAD,DIS,0
APP,DIS,0
CON,DIS,0
SLE,DIS,0
TREAT,DIS,-0.163265899734648
BAD,RES,0
ANX,RES,0
AFR,RES,0.101941322541987
FAI,RES,0
GUI,RES,0
PUN,RES,0.104894791538091
CRY,RES,0.0936632354419854
IND,RES,0
LIB,RES,0
PHY,RES,0
IMP,RES,0
TIR,RES,0
WOR,RES,0
ANH,RES,0
DIS,RES,0
RES,RES,0.321116935231144
SUI,RES,0
SAD,RES,0
APP,RES,0
CON,RES,0
SLE,RES,0.0903802799272023
TREAT,RES,0
BAD,SUI,0
ANX,SUI,0
AFR,SUI,0
FAI,SUI,0
GUI,SUI,0
PUN,SUI,0.159322952299193
CRY,SUI,0
IND,SUI,0
LIB,SUI,0
PHY,SUI,0
IMP,SUI,0
TIR,SUI,0
WOR,SUI,0
ANH,SUI,0
DIS,SUI,0
RES,SUI,0
SUI,SUI,0.543904982109683
SAD,SUI,0
APP,SUI,0
CON,SUI,0
SLE,SUI,0
TREAT,SUI,0
BAD,SAD,0
ANX,SAD,0
AFR,SAD,0
FAI,SAD,0
GUI,SAD,0
PUN,SAD,0
CRY,SAD,0
IND,SAD,0
LIB,SAD,0
PHY,SAD,-0.0848639441605717
IMP,SAD,0
TIR,SAD,0
WOR,SAD,0
ANH,SAD,0
DIS,SAD,0
RES,SAD,0.158497802745693
SUI,SAD,0.159372151798735
SAD,SAD,0.215808751480707
APP,SAD,0
CON,SAD,0
SLE,SAD,0
TREAT,SAD,-0.201524118896735
BAD,APP,0
ANX,APP,0
AFR,APP,0
FAI,APP,0
GUI,APP,0
PUN,APP,0
CRY,APP,0
IND,APP,0
LIB,APP,-0.127986389841947
PHY,APP,0
IMP,APP,0
TIR,APP,0
WOR,APP,0
ANH,APP,0
DIS,APP,0
RES,APP,0
SUI,APP,0
SAD,APP,0
APP,APP,0.359141666529448
CON,APP,0
SLE,APP,0
TREAT,APP,0
BAD,CON,0
ANX,CON,0
AFR,CON,0
FAI,CON,0
GUI,CON,0
PUN,CON,0
CRY,CON,0
IND,CON,0
LIB,CON,0
PHY,CON,0
IMP,CON,0
TIR,CON,0
WOR,CON,0
ANH,CON,0
DIS,CON,0
RES,CON,0.161025486428742
SUI,CON,0.125782427288981
SAD,CON,0
APP,CON,0
CON,CON,0.2033722714514
SLE,CON,0.121454304744885
TREAT,CON,0
BAD,SLE,0.170484851188827
ANX,SLE,0
AFR,SLE,0
FAI,SLE,0
GUI,SLE,0.120153485570132
PUN,SLE,0
CRY,SLE,0.0889826591157658
IND,SLE,0
LIB,SLE,0
PHY,SLE,0
IMP,SLE,0
TIR,SLE,0
WOR,SLE,0
ANH,SLE,0
DIS,SLE,0
RES,SLE,0
SUI,SLE,0
SAD,SLE,0
APP,SLE,0
CON,SLE,0
SLE,SLE,0.318410618698325
TREAT,SLE,0
