row,column,cor
TREAT,BAD,0
TREAT,ANX,-0.0571462489151057
BAD,ANX,0
TREAT,AFR,0
BAD,AFR,0.178188962909469
ANX,AFR,0.100949576676607
TREAT,FAI,0
BAD,FAI,0.0795645817690941
ANX,FAI,0.0905498813298572
AFR,FAI,0
TREAT,GUI,0
BAD,GUI,0.179478669727603
ANX,GUI,0.0444243143943977
AFR,GUI,0
FAI,GUI,0.115304090809567
TREAT,PUN,0
BAD,PUN,0.0953648578059864
ANX,PUN,0
AFR,PUN,0.0437137372846819
FAI,PUN,0.131036902321036
GUI,PUN,0.125128479286602
TREAT,CRY,0
BAD,CRY,0
ANX,CRY,0.0327005398075496
AFR,CRY,0.067823589821104
FAI,CRY,0
GUI,CRY,0
PUN,CRY,0.0520846008936429
TREAT,IND,0
BAD,IND,0
ANX,IND,0.0698713345896913
AFR,IND,0.055450037790464
FAI,IND,0
GUI,IND,0.136809053986081
PUN,IND,0.0721205179028272
CRY,IND,0.191140873082656
TREAT,LIB,0.131866482312239
BAD,LIB,0
ANX,LIB,0
AFR,LIB,0
FAI,LIB,0
GUI,LIB,0
PUN,LIB,0
CRY,LIB,0.0437162031974253
IND,LIB,0
TREAT,PHY,-0.0546338064191905
BAD,PHY,0
ANX,PHY,-0.0577496560891759
AFR,PHY,0
FAI,PHY,0
GUI,PHY,0
PUN,PHY,0.0427112504758627
CRY,PHY,0
IND,PHY,0
LIB,PHY,0
TREAT,IMP,0
BAD,IMP,0
ANX,IMP,0.0637064341489486
AFR,IMP,0
FAI,IMP,0
GUI,IMP,0
PUN,IMP,0
CRY,IMP,0
IND,IMP,0
LIB,IMP,0
PHY,IMP,0
TREAT,TIR,0
BAD,TIR,0
ANX,TIR,0
AFR,TIR,0.0474129247759591
FAI,TIR,0
GUI,TIR,0
PUN,TIR,0
CRY,TIR,0.0605062043802289
IND,TIR,0
LIB,TIR,0.135781418701068
PHY,TIR,-0.128566946265316
IMP,TIR,0.0363480325983897
TREAT,WOR,0
BAD,WOR,0.104998474958905
